"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN48598_c0_g1",26.0855995625118,25.0579934455071,6.27592766834256,3.99271546291176,6.53209329790946e-05,0.0369397298830073
"TRINITY_DN2473_c0_g1",167.08024920952,9.49682480072555,2.38367990676055,3.98410238463262,6.77356664375942e-05,0.0377480751683336
"TRINITY_DN77080_c0_g1",55.9152315041785,-7.87776758541218,1.97822279978586,-3.98224486456476,6.82673920456148e-05,0.0377480751683336
"TRINITY_DN97345_c0_g1",33.001369187848,-8.44247552003453,2.12197713316592,-3.97858930149668,6.93253729128292e-05,0.0379118371759005
"TRINITY_DN14963_c0_g1",38.6526189453944,7.08202455061403,1.78345950517345,3.97094777317374,7.15872727470287e-05,0.0383068884758697
"TRINITY_DN8598_c0_g1",99.8003318005886,5.2670782057756,1.32559030078456,3.973383180805,7.08589183660963e-05,0.0383068884758697
"TRINITY_DN13252_c0_g1",119.98248005199,7.02153466951398,1.77025192975176,3.96640418886515,7.29650868897977e-05,0.0386288037135189
"TRINITY_DN13906_c1_g1",156.638846520428,6.59317688470596,1.66686168051428,3.95544331109211,7.63928618331136e-05,0.0393143380374957
"TRINITY_DN2451_c0_g1",1204.73016987724,-3.89610927449651,0.985183935653134,-3.95470239972352,7.66299766831525e-05,0.0393143380374957
"TRINITY_DN7125_c1_g1",67.6783876447354,19.6162460794968,4.95654847220014,3.95764233710589,7.56931831959724e-05,0.0393143380374957
"TRINITY_DN13307_c0_g1",46.5630153277586,6.88498845655518,1.74996537529219,3.93435696143736,8.34197295321911e-05,0.0411028003977177
"TRINITY_DN138_c0_g1",47.4027247060105,10.1969755935726,2.59116497862093,3.93528612716878,8.30976362257483e-05,0.0411028003977177
"TRINITY_DN444_c1_g1",1100.61614605755,-3.34696163393618,0.850287291076315,-3.93627150383432,8.27573418547992e-05,0.0411028003977177
"TRINITY_DN93524_c0_g1",30.7217116943534,10.0232406104628,2.54604509628011,3.93678832519785,8.25793874270843e-05,0.0411028003977177
"TRINITY_DN19923_c0_g1",84.779097216073,9.0258612035971,2.30627493224504,3.91361024542329,9.09263580348156e-05,0.044134308085127
"TRINITY_DN4372_c0_g1",200.35595688448,9.19924379073498,2.35124515416041,3.91249877727866,9.13460008594008e-05,0.044134308085127
"TRINITY_DN3164_c0_g1",1058.91006564696,4.52832873907212,1.16116061966326,3.89982975859563,9.6260349266812e-05,0.046061502704451
"TRINITY_DN2046_c0_g1",1357.08238745108,15.8648538520918,4.074210723965,3.89396988201243,9.86168992087375e-05,0.0467397141821221
"TRINITY_DN4572_c0_g1",161.801056126795,9.20531252824385,2.36851112434239,3.88653970574011,0.000101683301066918,0.0477383912980677
"TRINITY_DN108489_c0_g1",37.3365656650515,10.3346177014888,2.66683961240031,3.87523031135235,0.000106523899606405,0.0495435688216146
"TRINITY_DN2594_c0_g1",1506.00157153992,-5.51768192711986,1.42472317140931,-3.87280984674508,0.000107587767334636,0.049575048531557
