"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN91010_c0_g1",483.860633669034,-7.78833434475251,1.24937609660709,-6.23377889644534,4.55315611980694e-10,1.35345411383836e-06
"TRINITY_DN7222_c0_g1",254.094517922866,5.23502211011679,0.852832015336226,6.13839773364149,8.33579472316864e-10,2.33211019310955e-06
"TRINITY_DN8044_c0_g1",355.028215722152,-7.77771927128759,1.27823693359879,-6.08472425326496,1.16691967830828e-09,3.08332593444555e-06
"TRINITY_DN715_c1_g1",372.011682187137,-8.97730645449879,1.47815813958024,-6.07330583522552,1.25303484201443e-09,3.13661000637097e-06
"TRINITY_DN64_c0_g1",835.529572258537,-8.87331909707196,1.46455078955672,-6.05873088208683,1.37199712075019e-09,3.26267775299999e-06
"TRINITY_DN548_c0_g1",258.845428533964,-9.17790869797279,1.56157368190876,-5.8773459134854,4.16896462953148e-09,9.44191079738794e-06
"TRINITY_DN4372_c0_g1",200.35595688448,-13.3109523586592,2.34153023526115,-5.68472367266896,1.31024337166125e-08,2.83256749998094e-05
"TRINITY_DN201_c0_g1",299.244481384378,-4.81819815211386,0.860633035374389,-5.59843505195901,2.16295404472559e-08,4.47270684005191e-05
"TRINITY_DN5217_c0_g1",159.511358960585,-7.82758767712746,1.4014451048231,-5.58536873844623,2.33204871461448e-08,4.6214403714908e-05
"TRINITY_DN77_c0_g2",196.005292110206,-9.63818638073575,1.75154458389814,-5.50267830424591,3.74064599635566e-08,7.11635456930686e-05
"TRINITY_DN1938_c0_g1",164.163910498126,-12.4879072676641,2.29729805874405,-5.43591077358564,5.45172328671583e-08,9.6492921058235e-05
"TRINITY_DN27248_c0_g1",2038.5411926838,-12.6265637848565,2.32316952941559,-5.43505914010194,5.47782609401053e-08,9.6492921058235e-05
"TRINITY_DN2473_c0_g1",167.08024920952,-12.8846469047353,2.37572500434713,-5.42345889408865,5.84566629988074e-08,9.92949053173672e-05
"TRINITY_DN46044_c0_g1",42.03063094241,9.5559812070924,1.77759329784162,5.37579727527968,7.62445405364616e-08,0.000125043675601885
"TRINITY_DN516_c1_g1",167.893570175781,-6.56106275555398,1.22528856038911,-5.35470824396696,8.56945762489891e-08,0.000135857324699272
"TRINITY_DN775_c0_g1",1070.88012679087,-11.8592492850467,2.26167923584739,-5.24355934169566,1.57508119045526e-07,0.000241653020965298
"TRINITY_DN19441_c0_g1",257.915492394535,-6.18874150694843,1.18243256060787,-5.23390653566481,1.65964397021129e-07,0.00024666977146006
"TRINITY_DN3505_c1_g1",420.641639828162,-12.1640723262407,2.33601468616265,-5.2071900053944,1.9172175233365e-07,0.000276317523113356
"TRINITY_DN104872_c0_g1",100.015694559881,9.36751937859876,1.80741098019463,5.18283859135901,2.1853414939634e-07,0.000305697137630569
"TRINITY_DN88704_c0_g1",99.0244479249891,-6.91243214881551,1.36561392782094,-5.06177625168587,4.15368327985359e-07,0.000564438087066048
"TRINITY_DN11833_c0_g1",97.0013498450453,-11.6310397885385,2.30438326536308,-5.04735473623824,4.47969133004072e-07,0.000591829442633519
"TRINITY_DN94806_c0_g1",181.285282788427,5.86210410439696,1.16589175453052,5.02800031102161,4.95621072699581e-07,0.000637087401044994
"TRINITY_DN3090_c0_g1",75.774857239622,-9.45000420841958,1.8955320242528,-4.98540994692225,6.18305729163218e-07,0.000773874704861364
"TRINITY_DN76013_c0_g1",135.834906374007,-7.0024775312783,1.40637253616499,-4.9791057143175,6.38787461010331e-07,0.000779009498284932
"TRINITY_DN92527_c0_g1",125.462456297086,-6.43488035420375,1.29488483840621,-4.96946150217036,6.71390987930172e-07,0.000798300669423672
"TRINITY_DN16644_c0_g1",415.783172909403,-7.75451143526856,1.56881176150132,-4.94292025695145,7.69609690316461e-07,0.00087388324408466
"TRINITY_DN72543_c0_g1",102.521498889949,-11.7455783981929,2.37649759532366,-4.94239018853006,7.71705730568233e-07,0.00087388324408466
"TRINITY_DN14840_c0_g1",138.473671963845,-12.3724904989849,2.50777212171472,-4.93365820277367,8.07036167335976e-07,0.000892638305922473
"TRINITY_DN307_c0_g1",3502.52023365913,-8.72058852621732,1.77078875812704,-4.92469160208644,8.4493503664514e-07,0.000913317165406352
"TRINITY_DN983_c1_g1",92.8462076938251,-6.42127678466261,1.30690650233509,-4.9133406048478,8.95375294515696e-07,0.000946332097388023
"TRINITY_DN3020_c0_g1",39.2352268579127,11.9170646516318,2.43630675912972,4.89144669774208,1.00097502491829e-06,0.000993183324859153
"TRINITY_DN4403_c0_g1",3177.78289334502,-12.1013793127306,2.47412447420257,-4.89117642984839,1.0023506569088e-06,0.000993183324859153
