"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN24744_c0_g1",140.299384432425,-6.68097398067709,1.45386119572816,-4.59533138397778,4.32062059883019e-06,0.00489269134049911
"TRINITY_DN17782_c0_g1",67.9429706880373,4.74960596464022,1.03589876816289,4.58500976216372,4.53965225052918e-06,0.00502117210900973
"TRINITY_DN8761_c0_g1",118.822145529003,-8.35870185791516,1.8367292796305,-4.55086220414405,5.34265301729117e-06,0.00577504363989512
"TRINITY_DN4035_c0_g1",89.0261869566283,7.55140534403604,1.66230717159222,4.54272560034919,5.5531516058011e-06,0.00585942018267788
"TRINITY_DN43269_c0_g1",25.8824621369984,9.14663266738856,2.01536792558629,4.53844310573104,5.66710810124225e-06,0.00585942018267788
"TRINITY_DN90154_c0_g1",48.0400751382165,-5.94517512338627,1.34044641036104,-4.43522029484565,9.19781835202439e-06,0.00930760507746026
"TRINITY_DN42447_c0_g1",150.987357452399,6.39728546196121,1.448768175402,4.41567227288527,1.00696547423523e-05,0.00997755935835457
"TRINITY_DN11635_c0_g1",1815.12688089485,4.2361785631521,0.967223109914621,4.37973257641252,1.18825040806838e-05,0.011533546460845
"TRINITY_DN4049_c1_g1",55.4608603473757,-5.57259501197179,1.27636771030928,-4.36597930750026,1.2655446081919e-05,0.012038113422043
"TRINITY_DN113924_c0_g1",32.7306919178471,-8.32937991731437,1.94090873912537,-4.29148457596611,1.77482532862426e-05,0.0163913709541514
"TRINITY_DN7920_c0_g1",126.86289621557,6.29606525183152,1.46784322621735,4.2893308627084,1.79212230528347e-05,0.0163913709541514
"TRINITY_DN30466_c0_g1",34.888275700968,6.06319555364236,1.41614034181512,4.28149341884502,1.85643214773429e-05,0.0166592017695077
"TRINITY_DN419_c1_g1",4590.95941502455,5.49233069351624,1.28597779637515,4.27093742131299,1.94653027621706e-05,0.0171442456420666
"TRINITY_DN8586_c0_g1",81.6953600085153,7.78295399262559,1.82582692483216,4.262700854486,2.01970818475206e-05,0.0174653347227259
"TRINITY_DN5510_c0_g1",1651.75710197337,2.506263845671,0.58899788206232,4.25513218637656,2.08925548940495e-05,0.0177441214877837
"TRINITY_DN78153_c0_g1",267.585541502063,4.38683092562795,1.03339739958139,4.24505705878976,2.18537803569813e-05,0.0182348710097963
"TRINITY_DN5943_c0_g1",228.361906766976,6.07541333067847,1.44318413871492,4.20972845231539,2.5567779902333e-05,0.0209660203437045
"TRINITY_DN6617_c0_g1",30.0926706640122,7.96308100509675,1.90090620362047,4.18909727893478,2.80066330904711e-05,0.0225766690917949
"TRINITY_DN12361_c0_g1",31.8790645259651,6.7837065709449,1.6267132567924,4.17019197613303,3.04343154051006e-05,0.0233465560480966
"TRINITY_DN42613_c0_g1",93.4712115049057,3.44390573218625,0.824632184900959,4.17629313437466,2.96297947965365e-05,0.0233465560480966
"TRINITY_DN97171_c0_g1",28.3726082335943,-8.19856331869664,1.96510391881263,-4.17207621449884,3.01836634108791e-05,0.0233465560480966
"TRINITY_DN7065_c0_g1",122.090010143776,4.73848218500139,1.14189696047697,4.14965828705081,3.32971971101603e-05,0.025137269710418
"TRINITY_DN15107_c0_g1",111.206680225467,8.5832255003146,2.07840847445312,4.12971059626431,3.63220159427718e-05,0.0269923656289714
"TRINITY_DN2314_c0_g1",129.968174622117,-7.12367010166016,1.73851848626997,-4.09755211573512,4.17542181116067e-05,0.0305518825785558
"TRINITY_DN13307_c0_g1",46.5630153277586,4.81308548860716,1.18025632481669,4.07800016606962,4.54247341434962e-05,0.0316916088449279
"TRINITY_DN1442_c0_g1",112.467019462999,5.54717577655534,1.35976084996313,4.07952308430248,4.5128188572499e-05,0.0316916088449279
"TRINITY_DN58279_c0_g1",5650.93646906655,4.59962659842247,1.12961912399912,4.07183846369271,4.66435234571383e-05,0.0316916088449279
"TRINITY_DN61481_c0_g1",94.4807976029636,5.93627940210215,1.45706620451264,4.07413155539333,4.61863695224951e-05,0.0316916088449279
"TRINITY_DN616_c1_g1",2142.60347039907,3.60940574186132,0.883937939506177,4.08332483599217,4.43958962403121e-05,0.0316916088449279
"TRINITY_DN7401_c0_g1",141.765202855184,6.25891190668393,1.53875382905084,4.06751995577138,4.75161405222359e-05,0.0318297909771558
