"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN2022_c0_g1",1603.393733235,-4.93168155340749,0.831066328518096,-5.93416119048084,2.95351557001124e-09,5.32302266131225e-06
"TRINITY_DN3249_c1_g1",98.8871198487218,-8.75798974290503,1.47405533458212,-5.94142535726982,2.82554389836671e-09,5.32302266131225e-06
"TRINITY_DN98805_c0_g1",49.1395478592582,-10.8189954086735,1.8221083856169,-5.93762450909888,2.89181415284128e-09,5.32302266131225e-06
"TRINITY_DN26333_c0_g1",75.4291580715041,10.9903207449447,1.86013583458988,5.90834311160282,3.4556569663641e-09,5.83876440179295e-06
"TRINITY_DN3561_c0_g1",129.73556904979,-8.63210803861758,1.46073305700219,-5.90943567494322,3.43281690973971e-09,5.83876440179295e-06
"TRINITY_DN15140_c0_g1",299.33313211525,-3.83585873868406,0.65404777977578,-5.86479896009901,4.49677198741794e-09,7.30498925501962e-06
"TRINITY_DN2588_c2_g1",890.218125878809,5.87915286734692,1.00305256426607,5.86126099149018,4.59365307891298e-09,7.30498925501962e-06
"TRINITY_DN4326_c0_g1",85.8119332440334,-11.9070919731216,2.04431497554763,-5.82448992231833,5.72872946100669e-09,8.84974127136313e-06
"TRINITY_DN743_c0_g1",6307.15871126731,2.78771612136531,0.483233494846507,5.76888016061633,7.98000242379813e-09,1.19850769736088e-05
"TRINITY_DN10594_c0_g1",120.623821231555,6.54653827270413,1.14860185390948,5.6995713966696,1.2010901482751e-08,1.75514978748482e-05
"TRINITY_DN37737_c0_g1",121.286856941772,8.184268243498,1.437711729509,5.69256553696829,1.25144538439442e-08,1.78060918535362e-05
"TRINITY_DN8741_c0_g1",123.314691401169,4.4356720195993,0.780011939568057,5.6866719528109,1.29538948525361e-08,1.79587483817159e-05
"TRINITY_DN7835_c0_g1",53.4099555680266,12.2012393320967,2.15629882428701,5.65841765281818,1.52774987720038e-08,2.06505950901176e-05
"TRINITY_DN68376_c0_g1",98.0418220961905,6.59164302765625,1.17678072147137,5.60141996498251,2.12602947335458e-08,2.80366247720331e-05
"TRINITY_DN706_c0_g1",371.693621718501,-5.90220249935246,1.05920917068986,-5.57227284532326,2.51437221864394e-08,3.23683516946763e-05
"TRINITY_DN18384_c0_g1",67.8166451943501,-7.2624018293577,1.31477199893043,-5.52369675903172,3.3194017262412e-08,4.17380029149789e-05
"TRINITY_DN74860_c0_g1",15.5951703160594,-19.7086417299448,3.59335776501126,-5.4847424105245,4.14072326108523e-08,5.088196029099e-05
"TRINITY_DN4193_c3_g1",142.143209065394,-9.08635279209076,1.67050005124998,-5.43930111543053,5.34899837813051e-08,6.42688098463912e-05
"TRINITY_DN1625_c1_g1",554.031853233858,-3.03892686450318,0.563589436037711,-5.3920933753979,6.96415606207452e-08,7.9110096663281e-05
"TRINITY_DN73267_c0_g1",59.1062117648252,8.7129843248374,1.61633599314351,5.39057743055765,7.02316460723069e-08,7.9110096663281e-05
"TRINITY_DN88105_c0_g1",54.4479730449414,8.36014674044271,1.55060060364395,5.39155390549712,6.98509981390825e-08,7.9110096663281e-05
"TRINITY_DN1381_c0_g1",1878.79950747087,2.96679681601604,0.551780549943249,5.37676947170606,7.58341674483235e-08,8.0396113050901e-05
"TRINITY_DN3472_c0_g1",147.707069300584,-5.70098754085986,1.05978781437293,-5.37936694831042,7.47482136730359e-08,8.0396113050901e-05
"TRINITY_DN88729_c0_g1",217.365700625947,3.73918463856417,0.694622815149741,5.38304322434054,7.32369424749708e-08,8.0396113050901e-05
"TRINITY_DN782_c2_g1",44.1856930601694,-6.53077046333057,1.22047996467302,-5.35098539293124,8.74765835492605e-08,9.0955459987335e-05
"TRINITY_DN72282_c0_g1",66.8042402227714,-11.1994880284351,2.09937128544469,-5.33468667790361,9.57096776705803e-08,9.76383179677913e-05
"TRINITY_DN35817_c0_g1",55.3438812600657,-11.4523537952755,2.15696356860475,-5.30947947474305,1.09938763342535e-07,0.000110077204748225
"TRINITY_DN11184_c0_g1",51.5076037175819,-11.2453265192308,2.1445000441138,-5.24379868869524,1.57303827352275e-07,0.00015274565972309
"TRINITY_DN1639_c0_g1",132.887924877934,-6.82246352391894,1.30448467695495,-5.23000664127735,1.6950395027346e-07,0.00015274565972309
"TRINITY_DN1832_c0_g1",280.788786391013,-5.74435708599677,1.0979169310546,-5.23205073491219,1.67639721002383e-07,0.00015274565972309
"TRINITY_DN20164_c1_g1",49.615344507512,8.91048953413076,1.70274365392913,5.23301878915803,1.66763780348264e-07,0.00015274565972309
"TRINITY_DN67245_c0_g1",57.9711476619053,-8.00842385165733,1.53054044057685,-5.23241571365407,1.67308950031332e-07,0.00015274565972309
"TRINITY_DN7499_c0_g1",63.540786089429,8.80892531903152,1.68339212929504,5.23284216774879,1.66923264898601e-07,0.00015274565972309
