"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN11017_c0_g1",13.9261692519659,-20.979369461018,3.66441295505417,-5.72516518152849,1.03333149758644e-08,1.98839770211494e-05
"TRINITY_DN68560_c0_g1",207.726058546644,-7.15311099404431,1.2638866290988,-5.65961442217704,1.5171346901981e-08,2.81509760104437e-05
"TRINITY_DN11576_c0_g1",79.8616888052692,7.59286630552916,1.3458970089773,5.64149132874492,1.68583531999767e-08,3.02026117415444e-05
"TRINITY_DN3561_c0_g1",129.73556904979,-7.48531538767277,1.33022215546642,-5.627116761597,1.832466948801e-08,3.08731480478009e-05
"TRINITY_DN64996_c0_g1",161.069896783841,6.77678760291986,1.2045028988053,5.62621111965897,1.84210872771019e-08,3.08731480478009e-05
"TRINITY_DN13709_c0_g1",34.2322246981746,-11.4093626618488,2.03397790500753,-5.6093837763722,2.03048303296634e-08,3.19678018114444e-05
"TRINITY_DN26333_c0_g1",75.4291580715041,10.4455582536693,1.8612641682785,5.61207722777498,1.99912176453977e-08,3.19678018114444e-05
"TRINITY_DN199_c2_g1",11662.091001448,2.54319383915502,0.471955805049502,5.38862709589572,7.09979459904173e-08,0.000108491125998004
"TRINITY_DN12855_c0_g1",59.2733359992243,-7.08610101544077,1.31975763755305,-5.36924418075659,7.9067305701267e-08,0.000117369767648838
"TRINITY_DN7600_c0_g1",100.466671027872,-10.8098715732065,2.01629075420691,-5.36126625123492,8.26406075094653e-08,0.000119266465643174
"TRINITY_DN1060_c0_g1",875.393670386583,3.01103126449137,0.569408558993903,5.28799790050857,1.23662397507828e-07,0.000173645401689708
"TRINITY_DN105103_c0_g1",210.194982949657,-8.63392205498321,1.63829802880844,-5.27005581595113,1.36382280049809e-07,0.000186466877894416
"TRINITY_DN4326_c0_g1",85.8119332440334,-10.6485870303028,2.04431390109583,-5.2088806051726,1.89983309463897e-07,0.000253091867774277
"TRINITY_DN9260_c0_g1",66.2499604988261,-10.3109581495467,1.9886318011019,-5.18495085104916,2.16071839005455e-07,0.000280650309888211
"TRINITY_DN67_c1_g1",237.575191684909,-7.15139329704218,1.38642562301229,-5.15815142070466,2.49399894244866e-07,0.000316038329402245
"TRINITY_DN939_c0_g1",742.139008842268,3.76569775214273,0.730967153416874,5.15166479716653,2.58184205974443e-07,0.000319380010033386
"TRINITY_DN1857_c0_g1",125.801537757112,-30,5.84401611417111,-5.13345607094636,2.84469450592294e-07,0.000342537502064578
"TRINITY_DN2988_c2_g1",295.658518812312,5.2038158372798,1.01443377115782,5.12977385536015,2.90090464649051e-07,0.000342537502064578
"TRINITY_DN8526_c0_g1",125.624024623416,-6.42123186445068,1.2559707086189,-5.112564982914,3.17813604557718e-07,0.00036693346277325
"TRINITY_DN1832_c0_g1",280.788786391013,-5.57850121774082,1.09348732303173,-5.10156917253895,3.3684886016171e-07,0.000380456141950035
"TRINITY_DN71610_c0_g1",1103.82983950806,3.81037371849593,0.751360454430857,5.07129926259192,3.95108883684911e-07,0.000427664209413533
"TRINITY_DN81142_c0_g1",378.350878654628,-3.15917338551392,0.6228332615499,-5.07226184043611,3.93114967096426e-07,0.000427664209413533
"TRINITY_DN28950_c0_g1",110.969212814742,-6.81353552504155,1.34745341677122,-5.05660191308744,4.26792838372721e-07,0.000452531059543974
"TRINITY_DN1_c7_g1",1571.25336429739,-4.8439902461007,0.960507491530415,-5.04315717348813,4.57912815184294e-07,0.000469867342025834
"TRINITY_DN7499_c0_g1",63.540786089429,8.48750419300557,1.68425013796984,5.0393370923135,4.67147065159808e-07,0.000469867342025834
"TRINITY_DN8458_c0_g1",39.2112422767101,-11.8844715465275,2.35893812468805,-5.03805988895919,4.70274310178873e-07,0.000469867342025834
"TRINITY_DN37199_c0_g1",1738.63425116723,5.04840069992721,1.00305637161429,5.03301792680152,4.82817956664204e-07,0.000473298244122428
"TRINITY_DN14518_c0_g1",22.3153627719277,10.8310253190902,2.17318373525943,4.98394366907831,6.23012240836194e-07,0.000599418536530453
"TRINITY_DN2022_c0_g1",1603.393733235,-4.12909504758919,0.829560769121462,-4.97744734477025,6.44283008667936e-07,0.000601096259264979
"TRINITY_DN4030_c0_g1",493.766861794898,2.61562120901255,0.525608821654917,4.97636474360738,6.47895111516482e-07,0.000601096259264979
"TRINITY_DN531_c0_g1",2348.5889444175,-4.61336813262108,0.928454351871604,-4.96886909229444,6.73445135903518e-07,0.000613839333962584
"TRINITY_DN1327_c0_g3",71.1678713686942,10.2591191605184,2.06835957849818,4.96002690594421,7.04834164898864e-07,0.00063137343167794
"TRINITY_DN31789_c0_g1",118.472604931785,-5.20679609000496,1.05303339022409,-4.94456884116175,7.63125716006176e-07,0.000660803276251681
"TRINITY_DN68376_c0_g1",98.0418220961905,5.82983317783389,1.17832628033936,4.94755423443062,7.51517686733497e-07,0.000660803276251681
"TRINITY_DN1_c11_g1",778.435173771438,-5.22813931890071,1.06321985187336,-4.91727022373489,8.77593717986311e-07,0.000747465272425882
"TRINITY_DN21636_c0_g1",177.401719370166,-7.44926898848999,1.56270093123871,-4.76691914593356,1.870643354114e-06,0.00156756895908053
"TRINITY_DN100410_c0_g1",37.6187193438691,-10.0430642130535,2.11409685148136,-4.75052228852063,2.0289192890318e-06,0.00167321431208963
"TRINITY_DN72282_c0_g1",66.8042402227714,-9.94235204568022,2.09937018788389,-4.73587369348225,2.1811340225682e-06,0.00177063778347704
"TRINITY_DN608_c0_g1",3935.34232741084,-3.56991280925306,0.755445014972372,-4.72557596979261,2.29464026356435e-06,0.00183412361374594
"TRINITY_DN38431_c0_g1",208.257715681426,4.10962591928698,0.871168707202677,4.71737091255607,2.38911891558508e-06,0.00188070717059429
