"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN2588_c2_g1",890.218125878809,-4.36547767816926,0.925511417130403,-4.71682747221493,2.3955065993531e-06,0.00541124110301698
"TRINITY_DN1916_c0_g1",126.56983127105,4.73893338197724,1.01049458342344,4.68971675822573,2.7358348577775e-06,0.00592251250149292
"TRINITY_DN6349_c0_g1",104.64038190091,8.78973964715737,1.88812349829119,4.65527792811876,3.23543967383997e-06,0.00672389073017422
"TRINITY_DN99022_c0_g1",41.6172154847299,8.39630198737687,1.82138557469964,4.60984324461968,4.02972698776661e-06,0.0080524794480544
"TRINITY_DN37699_c0_g1",1446.6097823518,2.15505951302285,0.470659707359333,4.57880604463456,4.67637565823711e-06,0.00899855916013736
"TRINITY_DN100410_c0_g1",37.6187193438691,9.64392153717863,2.11538462354948,4.55894470906986,5.14113031410712e-06,0.00953955090962269
"TRINITY_DN4914_c2_g1",24.5964478617631,-10.5349660710279,2.31970789166882,-4.5415054666426,5.58539373996227e-06,0.0100065217848186
"TRINITY_DN18716_c0_g1",151.995296086983,6.28162843944918,1.40183234163178,4.48101263817125,7.42897116174044e-06,0.0128657398902741
"TRINITY_DN12284_c0_g1",217.15650009195,-4.57143998050392,1.027899997484,-4.44735868439876,8.69326120211127e-06,0.0141786541891399
"TRINITY_DN8106_c1_g1",1593.03924273381,5.58130934652905,1.25524753695034,4.4463814365165,8.73288295741463e-06,0.0141786541891399
"TRINITY_DN101569_c0_g1",62.3851450598171,6.82159973224832,1.53659689417862,4.43942048698125,9.02014316549541e-06,0.0142012587322216
"TRINITY_DN5773_c0_g1",138.236688740418,3.88536729716801,0.877440970364715,4.4280668767416,9.50814232010238e-06,0.0145292804188506
"TRINITY_DN1298_c0_g1",225.346783475033,5.43467410505317,1.23516500528616,4.39995796658284,1.08271848439223e-05,0.0154523869389395
"TRINITY_DN2948_c0_g1",350.824394682853,-2.61907109178851,0.595726535001542,-4.39643181544991,1.10044907466223e-05,0.0154523869389395
"TRINITY_DN332_c0_g1",1836.12215434009,3.20789256062384,0.727798553941425,4.40766547728263,1.0449076355406e-05,0.0154523869389395
"TRINITY_DN21256_c0_g1",211.488806398048,-4.72088988885931,1.07893378628871,-4.37551400174249,1.2114666488023e-05,0.0165636183522431
"TRINITY_DN86814_c0_g1",45.4488589859589,4.72349098947024,1.08278351595705,4.36235952973043,1.28667197577087e-05,0.0167122606252939
"TRINITY_DN97555_c0_g1",265.529427853863,5.49003947798879,1.25780170436942,4.3647893455043,1.2724532038861e-05,0.0167122606252939
"TRINITY_DN220_c4_g1",566.105245057512,2.51948067530243,0.579519986746995,4.34753025421084,1.37679084034608e-05,0.0174466263683368
"TRINITY_DN16288_c0_g1",72.6734843459439,-7.94128944515556,1.83132656832773,-4.33635899926201,1.44862278771552e-05,0.0179198087942286
"TRINITY_DN1_c4_g3",1175.57320336695,3.12878099992154,0.723133832560584,4.32669702210262,1.51361932849233e-05,0.0182883935376323
"TRINITY_DN8458_c0_g1",39.2112422767101,10.1782006158831,2.36202198077674,4.30910495275581,1.63916572059333e-05,0.0193551943212333
"TRINITY_DN19267_c0_g1",354.791146477079,2.92311874122908,0.679853652851615,4.29962938195329,1.71083973924785e-05,0.0197525952561383
"TRINITY_DN15324_c0_g2",1942.22787378324,3.1137301910291,0.725246461869665,4.29334075343434,1.76004565814523e-05,0.0198789504715077
"TRINITY_DN1031_c0_g1",26.9293989366416,9.08957102341071,2.12190791919569,4.28367835436334,1.83828609710992e-05,0.0203208838670948
"TRINITY_DN2117_c1_g1",28.7335954406212,9.15669037007942,2.14595594901314,4.26695169315582,1.98162047016647e-05,0.0214489774015622
